X,Y,Z,Type
Timestamp: ,1908227962134198,Normal
-0.69205236,-2.609115,0.057166576,Normal
-1.3549724,0.7445407,1.4297955,Normal
-0.060631752,-0.12624216,1.0582712,Normal
-0.077591896,-0.26053238,-0.43156415,Normal
-0.044994354,-0.18635845,0.52617615,Normal
0.13268805,6.389618E-4,0.030398846,Normal
-0.10796881,-0.46379566,-0.10888076,Normal
-0.2191019,-0.37000418,0.15911657,Normal
-0.028419971,-0.25778055,0.15194023,Normal
0.24193811,0.19088459,-0.15667045,Normal
-0.29664803,-0.31850243,0.13224351,Normal
-0.058214188,-0.0422554,0.7691433,Normal
0.36133146,0.29200172,-0.15502399,Normal
0.23079729,-0.0015497208,-0.45698184,Normal
-0.3188548,-0.18604708,0.23513412,Normal
0.119463444,0.059593678,-0.12716722,Normal
-0.21825552,-0.048568726,-0.14449525,Normal
0.34316444,0.123655796,0.24052227,Normal
0.010204315,0.0036745071,-0.009934902,Normal
-0.06807232,-0.08098364,0.015789151,Normal
0.1289444,0.0395689,0.049346805,Normal
-0.034639835,-0.016774178,0.1617763,Normal
0.04459095,0.048849583,0.5045067,Normal
0.16495371,0.016801357,0.35072798,Normal
-0.23272371,-0.2715974,1.2343405,Normal
-0.5427551,-0.99868774,-0.3301518,Normal
-0.932704,2.2542076,-0.9772806,Normal
0.9579253,0.43868113,-2.7590003,Normal
0.598567,1.1149659,-0.52069426,Normal
0.5901756,1.0542922,1.0594211,Normal
0.40661,0.9037461,-0.7686626,Normal
-2.89783,-0.7531061,-3.118308,Normal
-0.2742176,-1.0491605,-0.6190765,Normal
-0.790287,0.69911313,-0.965976,Normal
0.5421877,4.7038217,-0.91888195,Normal
0.43078136,1.4864483,-1.5661066,Normal
0.80563354,1.416215,-1.9713078,Normal
-1.5473204,0.87882304,-0.35668343,Normal
0.48996258,-0.35209846,1.2060207,Normal
-0.18732262,0.21048856,-0.98679745,Normal
0.1925497,0.1880703,-0.1606456,Normal
0.007633209,-0.16379857,-0.27844524,Normal
0.014533043,-0.33758426,0.07111907,Normal
0.026004791,-0.11405921,-0.58087903,Normal
-0.15424824,0.051243782,0.06405604,Normal
0.16842937,-0.07987952,0.46744394,Normal
0.429842,0.4367485,-0.7578577,Normal
-0.5819855,0.495672,1.0124594,Normal
-2.9681244,-0.97301984,0.22014761,Normal
1.3075256,-0.6903453,-0.8837011,Normal
-0.80510044,-1.1092246,-0.7706237,Normal
0.12532806,0.38044596,-2.1415873,Normal
-0.3021412,0.5156207,0.98958254,Normal
0.9427824,0.37918591,-1.5853766,Normal
-5.524143,1.9459705,3.198512,Normal
-0.166955,-0.3972404,2.4412804,Normal
-0.32464314,0.72941446,-0.2746127,Normal
-0.7667427,-0.5570593,0.99608684,Normal
-0.06929207,0.63641787,-1.2152684,Normal
0.19192028,0.5397339,0.16585624,Normal
-0.33692837,-1.0291758,0.15595365,Normal
0.24452114,0.62689877,-0.60871387,Normal
0.0027008057,-0.8819871,0.002714634,Normal
0.023385048,-0.23048401,-0.34044862,Normal
1.4735804,0.32723188,-1.0565114,Normal
-0.8722234,-0.6575804,-0.88987815,Normal
-0.10552502,1.0945635,-0.18637681,Normal
-0.7531996,0.36086607,0.66655684,Normal
-0.25455284,1.2732301,0.4837737,Normal
1.5847664,-0.013559341,-0.08801222,Normal
-0.577075,-1.51789,0.118456125,Normal
0.7811799,0.12772417,0.10245037,Normal
0.23215866,0.3636341,-0.38804865,Normal
-0.1516428,0.15742064,0.15599036,Normal
