X,Y,Z,Type
Timestamp: ,1815278595519655,Fast
1.1973273,-1.267092,-1.3731813,Fast
-0.2239449,-1.1149542,1.9465342,Fast
0.5349574,-0.5696764,2.8528113,Fast
-0.25641155,-1.5227687,-1.7062583,Fast
0.67460036,-0.14688158,0.20302677,Fast
-0.20260525,-0.80280685,-0.33265162,Fast
-1.5957398,-1.6022949,4.3543134,Fast
0.0405221,0.5196204,1.0497632,Fast
0.7915833,-1.7643166,-0.64067554,Fast
2.074994,0.20361805,-1.3282752,Fast
-0.48231697,0.4904747,-0.8000698,Fast
-1.7846708,-0.14113998,0.055987835,Fast
-1.4805732,-0.6985607,0.4051118,Fast
-0.836678,-0.28264093,0.63061094,Fast
1.1884623,1.1222229,-0.30329752,Fast
0.9770119,0.8405032,-1.1869345,Fast
0.6191435,1.0657549,0.007490158,Fast
-0.41585112,-1.426507,2.1508064,Fast
-0.24450636,-0.18334293,2.5785952,Fast
0.82390594,0.6290703,-0.38617492,Fast
-0.6227622,-0.2141509,-0.9371402,Fast
-0.3234396,-0.14259624,-1.3620043,Fast
-0.5468774,1.3231068,-3.017516,Fast
-0.43345118,2.6011739,-2.0023413,Fast
-1.4212227,3.7141035,-0.68911505,Fast
-0.45924282,4.3034163,0.93236494,Fast
-1.0942426,3.3774374,1.8948984,Fast
0.99290323,0.8640175,0.14937735,Fast
0.8129535,-1.3694582,0.29292583,Fast
0.3371954,-2.751782,0.29293823,Fast
1.5035224,2.3987427,0.28958702,Fast
-0.39417124,-3.8729277,-1.2055025,Fast
0.51934385,-2.137794,-1.0472269,Fast
1.4512067,0.38643408,-0.58755064,Fast
-0.79649687,-1.5230942,0.2585926,Fast
-0.033833504,-0.21058416,-0.3978629,Fast
0.24062872,-1.5395179,-1.4662042,Fast
-0.15256023,0.2931409,-0.9659004,Fast
-0.5446768,-0.1576128,-0.33265305,Fast
-1.443852,-2.3629,0.73899364,Fast
0.29715538,-1.2265759,-0.38780737,Fast
-0.21362972,-2.532261,-0.83339834,Fast
-0.045413017,-2.1564968,-0.28293943,Fast
-1.8350763,-2.9450393,-0.80294704,Fast
-1.3872075,-1.5849836,-1.0902815,Fast
-1.724853,-1.6053092,-1.1413579,Fast
-1.6777933,-0.639704,0.7603235,Fast
-2.664627,-1.725853,-0.5746527,Fast
0.27998948,0.03420019,-0.501904,Fast
0.06584215,0.0792532,0.11422157,Fast
-0.78981805,-0.2926855,0.33687687,Fast
1.4017739,0.9986563,-0.2866974,Fast
0.69706273,0.605628,-1.067893,Fast
-1.1635253,-0.6987591,0.5499525,Fast
-0.5892856,0.27961016,1.5874076,Fast
1.1414638,0.13963509,-1.8040028,Fast
